random,date,hour,cloud_coverage,visibility,temperature,dew_point,relative_humidity,wind_speed,station_pressure,alimeter,solar_energy
0.257270255,2/1/2016,6,0,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,4733.25
0.212503633,2/1/2016,7,0,10,0.47,-0.04,90.08,6,29.2,29.99,4732.25
0.454631401,2/1/2016,8,0.14,9.92,0.89,0.3,92,2.76,29.22,30.01,4731.5
0.682204014,2/1/2016,9,0.92,10,1.97,0.41,86.12,5.56,29.24,30.04,4728.5
0.292120213,2/1/2016,10,0.46,10,3.15,1.07,82.48,2.12,29.27,30.06,4724.25
0.003405257,2/1/2016,11,0.42,10,4.5,1.05,75.88,0,29.27,30.06,4723
0.765548723,2/1/2016,12,0,10,6.16,1.26,68.96,0,29.26,30.05,4722.5
0.303420841,2/1/2016,13,0,10,7.56,1.41,64.48,0,29.25,30.04,4722.5
0.455588387,2/1/2016,14,0,10,8.47,0.63,57.12,3.72,29.24,30.03,4721
0.487375943,2/1/2016,15,0,10,8.78,-0.2,51.76,2.04,29.23,30.02,4720.5
0.351146505,2/1/2016,16,0,10,8.49,-0.21,54.2,3.2,29.24,30.03,4720.25
0.951774541,2/1/2016,17,0,10,5.86,0.44,64.64,3.16,29.26,30.05,4719.75
0.289417441,2/2/2016,6,0.92,5.04,2.07,0.54,89.8,14.08,29.19,29.98,4719.75
0.629112487,2/2/2016,7,0.92,5.76,2.51,0.67,86.8,18,29.13,29.92,4719.75
0.161798055,2/2/2016,8,0.92,5,2.63,1.06,88.84,17.92,29.08,29.87,4719
0.248438961,2/2/2016,9,1,6.35,3.34,1.65,86.89,18.3,29.01,29.81,4718.5
0.050848974,2/2/2016,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,4718.25
0.881315912,2/2/2016,11,1,7.35,5.04,3.16,86.38,21.5,28.9,29.68,4718
0.182721003,2/2/2016,12,1,5.93,6.34,4.93,90.56,20.46,28.85,29.64,4717.5
0.961430933,2/2/2016,13,1,1,7.96,7.07,97.28,17.56,28.81,29.59,4717.5
0.810042257,2/2/2016,14,1,0.92,9.99,9.27,97.38,15.76,28.76,29.54,4717.25
0.656360707,2/2/2016,15,1,3.15,11.87,11.02,96,20.92,28.72,29.5,4717.25
0.616429985,2/2/2016,16,1,4.68,12.79,11.72,95.2,17.96,28.71,29.49,4716.75
0.020138441,2/2/2016,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,4716.75
0.189125075,2/3/2016,6,0.16,10,2.47,0.22,79.12,15.36,28.83,29.61,4716.25
0.828960182,2/3/2016,7,0.56,10,1.86,-0.17,81.04,11.72,28.85,29.63,4716.25
0.381181091,2/3/2016,8,0.98,10,2.47,0.23,80.04,15.23,28.88,29.67,4716.25
0.793569149,2/3/2016,9,1,10,3.14,0.42,79,20.56,28.91,29.7,4716
0.802351542,2/3/2016,10,1,10,3.13,1.02,81.88,19.4,28.94,29.73,4715.75
0.050139501,2/3/2016,11,1,7.44,2.78,1.22,86.8,21.4,28.96,29.75,4715.75
0.160684481,2/3/2016,12,1,5.3,2.05,1.05,88.7,22.35,28.98,29.77,4715.5
0.71502754,2/3/2016,13,1,9.74,1.58,0.39,88.58,21.59,29,29.79,4715.5
0.709740027,2/3/2016,14,1,9.89,1.1,-0.08,87.56,22.57,29.05,29.84,4715.25
0.787197327,2/3/2016,15,1,10,0.31,-0.77,88.58,19,29.08,29.88,4715
0.297212966,2/3/2016,16,1,10,-0.22,-1.66,85.76,21.16,29.13,29.92,4714.25
0.185388921,2/3/2016,17,1,10,-0.54,-2.36,84.2,19.72,29.17,29.96,4714.25
0.022755289,2/4/2016,6,1,10,-4.76,-7.75,75.92,13.68,29.42,30.22,4714.25
0.80844005,2/4/2016,7,0.42,10,-5.41,-8.68,75.44,12.08,29.45,30.25,4714.25
0.992587234,2/4/2016,8,0.3,10,-5.49,-8.8,74.57,11.88,29.46,30.26,4714
0.487276838,2/4/2016,9,0.29,10,-4.75,-8.5,71.64,12.6,29.48,30.28,4714
0.328599973,2/4/2016,10,0.15,10,-3.81,-8.15,69.84,10.76,29.49,30.29,4713.75
0.158171521,2/4/2016,11,0,10,-2.86,-7.78,66.84,8.72,29.47,30.27,4713.75
0.524010946,2/4/2016,12,0.28,10,-1.92,-6.76,67.72,10.44,29.46,30.26,4713.75
0.224212638,2/4/2016,13,0,10,-1.19,-6.52,64.52,10.64,29.45,30.25,4713.75
0.771783637,2/4/2016,14,0,10,-0.49,-6.05,64.84,8.08,29.44,30.24,4713.25
0.148090397,2/4/2016,15,0,10,0.1,-5.54,63.8,8.72,29.45,30.25,4713.25
0.486722671,2/4/2016,16,0,10,0.12,-5.36,64.96,7.68,29.47,30.27,4713.25
0.414162227,2/4/2016,17,0,10,-0.6,-4.66,69.2,4.84,29.49,30.29,4713
0.849827828,2/5/2016,6,0.56,9.96,-3.37,-4.33,87.27,7.23,29.53,30.33,4713
0.112109217,2/5/2016,7,0.98,6.42,-2.93,-3.86,87.58,9.42,29.55,30.35,4712.75
0.343835382,2/5/2016,8,0.92,9.73,-2.74,-4.65,84.08,10,29.57,30.37,4712.5
0.432806557,2/5/2016,9,0.75,10,-1.9,-4.38,76.42,11.31,29.58,30.38,4712
0.747939573,2/5/2016,10,1,10,-1.58,-4.41,75.62,8.85,29.59,30.39,4711
0.611234282,2/5/2016,11,1,10,-1.34,-4.07,77.04,8.64,29.59,30.39,4711
0.13841209,2/5/2016,12,1,10,-0.96,-4.04,76.92,8.72,29.58,30.38,4711
0.320998773,2/5/2016,13,1,10,-0.57,-4.03,74.76,6.04,29.56,30.36,4711
0.697785988,2/5/2016,14,1,10,-0.35,-4.03,74.76,7.36,29.57,30.37,4711
0.051692088,2/5/2016,15,1,10,-0.1,-4.1,72.84,6.36,29.57,30.37,4710.75
0.357207938,2/5/2016,16,1,10,-0.15,-3.85,74.76,5,29.58,30.38,4710.75
0.852208882,2/5/2016,17,0.97,10,-0.7,-4.07,75.56,4.74,29.58,30.39,4709.5
0.566133595,2/6/2016,6,1,7,-3.27,-4.39,91.72,3.8,29.51,30.31,4709.5
0.271487551,2/6/2016,7,0.79,5.68,-3.21,-3.66,91.04,4.28,29.52,30.32,4708.25
0.516262465,2/6/2016,8,0.16,5,-2.18,-3.15,89.92,6.92,29.52,30.32,4708.25
0.99674448,2/6/2016,9,0,5.72,-0.32,-2.05,87.56,7.36,29.52,30.32,4708
0.756086143,2/6/2016,10,0,9.92,1.93,-1.72,75.16,8.04,29.51,30.31,4708
0.444905756,2/6/2016,11,0,10,3.8,-0.97,67.88,8,29.48,30.28,4707.5
0.280923229,2/6/2016,12,0,10,5.39,-0.72,63.4,7.76,29.45,30.25,4707.25
0.235270371,2/6/2016,13,0,10,6.66,-0.11,59.92,10,29.43,30.23,4707
0.423743881,2/6/2016,14,0,10,7.49,0.37,59.76,10.76,29.4,30.2,4707
0.615222082,2/6/2016,15,0,10,7.66,0.49,60.8,10.32,29.39,30.19,4706.75
0.463756432,2/6/2016,16,0,10,7.07,0.93,62.8,7.48,29.39,30.19,4706.25
0.253943956,2/6/2016,17,0,10,4.04,0.98,75.36,5.4,29.38,30.18,4705.75
0.106200221,2/7/2016,6,0.14,10,2.15,-0.82,76.12,12.28,29.18,29.97,4703.25
0.459300014,2/7/2016,7,0,10,2.4,-0.89,70.36,12.28,29.16,29.95,4702.25
0.274335407,2/7/2016,8,0,10,2.96,-0.76,71.08,16.6,29.15,29.94,4701.75
0.519246054,2/7/2016,9,0,10,3.96,-0.61,70.2,17.96,29.12,29.91,4701.5
0.954399453,2/7/2016,10,0,10,5.85,0.49,66.92,19.24,29.11,29.9,4701.5
0.249393543,2/7/2016,11,0,10,7.77,1.47,62.8,19.36,29.08,29.87,4700.25
0.621262585,2/7/2016,12,0,10,8.82,1.47,60.16,18.88,29.05,29.84,4700.25
0.599392782,2/7/2016,13,0.28,10,9.12,2.36,61.36,18,29.03,29.82,4699.75
0.404399858,2/7/2016,14,0.28,10,8.98,2.42,62.4,18.88,29.01,29.8,4699.5
0.27989911,2/7/2016,15,0.14,10,8.28,2.25,63.8,17.8,29.01,29.8,4697.25
0.725560716,2/7/2016,16,0.14,10,7.12,2.37,70.68,13.28,29.03,29.82,4697
0.072230974,2/7/2016,17,0.15,10,5.74,2.05,71.64,12.44,29.04,29.83,4696.25
0.133258729,2/8/2016,6,1,6.7,0.54,-0.05,92,8.37,28.89,29.67,4695.75
0.767739104,2/8/2016,7,1,3.22,0.04,-0.73,92.82,10.85,28.89,29.68,4695.25
0.671429245,2/8/2016,8,1,8,-0.89,-1.85,89.8,14.64,28.91,29.69,4695
0.253732682,2/8/2016,9,1,9.96,-2.34,-4.65,79.04,18.16,28.92,29.71,4693.25
0.223061933,2/8/2016,10,1,10,-3.25,-5.12,79.12,18.88,28.94,29.73,4692
0.555041205,2/8/2016,11,1,4.42,-3.55,-5.68,81.07,20.86,28.95,29.74,4691.5
0.84113242,2/8/2016,12,1,7.32,-3.6,-6.23,78.12,16.52,28.95,29.73,4690.75
0.8359195,2/8/2016,13,1,5.19,-4.24,-7.3,75.21,16.99,28.95,29.74,4687.5
0.930554912,2/8/2016,14,1,1.78,-4.87,-6.8,82.31,16.86,28.96,29.76,4685.75
0.810144223,2/8/2016,15,1,1.94,-5.22,-6.93,83.61,15.71,28.98,29.77,4685
0.567577988,2/8/2016,16,1,4.42,-5.2,-7.21,82,14.88,28.99,29.78,4682.75
0.79375973,2/8/2016,17,1,8.3,-5.43,-7.83,79.22,16.81,29.01,29.8,4682.5
0.298220937,2/9/2016,6,1,8.36,-7.32,-9.58,79.56,14.32,29.01,29.8,4682.5
0.166219692,2/9/2016,7,1,4.66,-7.77,-9.83,82.08,15.6,29.03,29.83,4679.75
0.899570201,2/9/2016,8,1,4.04,-7.79,-9.99,81.72,15.35,29.04,29.84,4679.5
0.623945049,2/9/2016,9,1,3.48,-7.53,-10.06,78.32,16.86,29.05,29.85,4679.25
0.581340188,2/9/2016,10,1,1.98,-7.52,-9.68,81.77,19.54,29.07,29.86,4679
0.729155724,2/9/2016,11,1,1.85,-7.41,-9.72,81.51,21.46,29.08,29.87,4678
0.19718059,2/9/2016,12,1,2.62,-7.47,-10.37,77.75,19.63,29.08,29.87,4676.25
0.468226828,2/9/2016,13,0.93,3.25,-7.3,-10.62,74.11,21.48,29.07,29.87,4676
0.671760756,2/9/2016,14,1,4.71,-7.1,-10.81,72.08,20.12,29.09,29.88,4675
0.533414563,2/9/2016,15,1,4.78,-7.12,-10.71,73.38,20.35,29.12,29.91,4674.5
0.383607183,2/9/2016,16,1,3.84,-7.5,-10.8,76.26,18.68,29.14,29.94,4673.75
0.742454958,2/9/2016,17,1,6.98,-7.71,-11.29,72.96,15.92,29.16,29.95,4673.75
0.927130985,2/10/2016,6,0,10,-13.94,-15.79,76.16,8.96,29.26,30.05,4672.25
0.440004986,2/10/2016,7,0,10,-13.83,-15.95,76.28,9.6,29.27,30.06,4671.75
0.694598063,2/10/2016,8,0,10,-11.7,-15.46,70.24,14.6,29.28,30.07,4671.75
0.840883469,2/10/2016,9,0,10,-10.71,-15.06,67.12,17.44,29.3,30.09,4670.25
0.599716351,2/10/2016,10,0.28,10,-9.8,-14.84,64.44,14.64,29.3,30.09,4670
0.313969547,2/10/2016,11,0,10,-9.02,-13.98,65.6,13.04,29.29,30.08,4667.75
0.925348078,2/10/2016,12,0.28,10,-8.06,-13.47,63.92,11.12,29.28,30.07,4667.5
0.286042265,2/10/2016,13,0.29,10,-7.33,-13.09,61.24,11.76,29.26,30.05,4667.25
0.219406846,2/10/2016,14,0,10,-6.82,-12.91,60.6,11.76,29.26,30.05,4667
0.478610666,2/10/2016,15,0.38,10,-6.67,-12.92,59.04,10.52,29.27,30.06,4665.5
